Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,rsi_entry_max,stop_loss_pct,take_profit_pct,position_size_pct,max_positions
0.605414224208714,8.695537774265292,12.165654160438784,44.44444444444444,2.329898281253125,27,65,7,25,25,3
0.6032689285011783,8.760548587895519,17.426514583812423,33.33333333333333,2.0464756507476762,42,75,5,25,25,3
0.6030103804930337,8.81804829225041,13.380878453279232,34.48275862068966,2.179041605547862,29,70,5,25,33,2
0.5980543726315702,5.442233479960004,8.940841776288892,45.83333333333333,2.107411695098423,24,70,7,20,25,2
0.5976597685426278,11.651573295789351,22.486011673146777,33.33333333333333,1.9788032449601152,42,75,5,25,33,3
0.5943897150409659,4.102011023173988,6.870358078897134,40.0,2.3660357969247743,15,75,5,20,33,1
0.5942252309289381,3.0725702523413263,5.238702138917162,40.0,2.386132131113782,15,70,5,20,25,1
0.5919850333747412,3.4153921384884587,4.7855993566810096,53.84615384615385,2.1916328427992964,13,65,7,15,33,1
0.5919850333747408,2.5631136279655298,3.6362285848558975,53.84615384615385,2.2240239653554377,13,65,7,15,25,1
0.5905527255975576,6.051884318970847,10.400554653344207,25.71428571428571,2.3187200659508713,35,70,3,25,25,2
0.5778863230058994,7.375092450856891,12.444257428978714,45.45454545454545,1.9953590134352925,33,70,7,20,25,3
0.5768513305269989,9.879627381650977,16.25938408613437,45.45454545454545,1.9322606035851349,33,70,7,20,33,3
0.576167733943884,8.12892373801217,15.111241558810622,33.33333333333333,2.0218321153265313,39,70,5,25,25,3
0.5753501590964606,7.2855118316640946,14.48623612489491,23.684210526315788,2.033318201680592,38,75,3,25,33,2
0.5738124715315114,7.8328031444229795,14.486247309390379,25.0,2.170011305946165,36,70,3,25,33,2
0.5733937577216909,7.3038010539763025,11.704171752171373,45.83333333333333,2.062291967588767,24,70,7,20,33,2
0.5706564333365337,5.162786278412742,9.630957637395065,25.0,2.2478005525817717,32,65,3,25,25,2
